层1,效果（1级，部分有衰减）,解锁,升级效果
让它变得更漂亮,美丽x1.5,,每级增益为0.05*n^2+0.45*n+1
踩碎浆果,红色油漆x2 红色转换x2 美丽/1.414,,增益2^n，减益为2^0.5n
雕刻南瓜,橙色油漆x2 橙色转换x2 红色油漆/1.414,现金,增益2^n，减益为2^0.5n
垃圾分类,转换器基础增益速度*1.5（但是不影响兴趣）,默认,每级增益为0.125*n^2+0.375*n+1
广告活动,现金x1.1,成就,每级+0.1
缺乏耐心,包裹x1.1 包裹容量*2,成就,每级包裹+0.1，包裹容量+1
感到兴奋,动机 增益+0.02/S，动机 容量+35,成就,"每级动机+0.02/S,容量+35"
层2,,,
制作柠檬水,黄色油漆x2 黄色转换x2 橙色油漆/1.414,现金,增益2^n，减益为2^0.5n
种一棵树,绿色油漆x2 绿色转换x2 黄色油漆/1.414,现金,增益2^n，减益为2^0.5n
建造堆肥机,转换器容量x1.5,成就,每级+0.5
观察彩虹,所有颜色增益x1.12,成就,每级+0.12
修建红色储液罐,红色鼓容量*1.4,成就,每级+0.4
订购大量保险箱,所有鼓容量+3，画布速度减少,成就,画布速度为1-等级/(等级+10)，鼓容量恒定+3
Buy pen（买笔）,形状增益*1.12,成就,每级+0.12
层3,,,
画海洋,蓝色油漆x2 蓝色转换x2 绿色油漆/1.414,现金,增益2^n，减益为2^0.5n
酿酒,紫色油漆x2 紫色转换x2 蓝色油漆/1.414,现金,增益2^n，减益为2^0.5n
计算胜算,所有鼓几率×1.4,成就,每级+0.4
修建橙色储液罐,橙色鼓容量x1.4,成就,每级+0.4
画得更快,画布速度*1.25,成就,mei
更加努力地思考,灵感的开始+2,将军,每级+2
购买刷子,特殊形状几率+0.2%，特殊形状乘数+1.5X,成就,
层4,,,
收获橙子,橙红色油漆x2 橙红色转换x2 紫色油漆/1.414,现金,
研磨黄金,金色油漆x2 金色转换x2 橙红色油漆/1.414,现金,
修建黄色储液罐,黄色鼓*1.4,成就,每级+0.4
为了乐趣而作画,美丽增益*4 现金增益/2,成就,
印刷报纸,现金增益*1.5,成就,现金增益*(0.125n^2-0.125n+1.5)
扩大画布,画布+3,成就,每级+3
高度关注,动机增益+0.08/s 圆形增益*1.24,成就,
层5,,,
修建绿色储液罐,绿色鼓*1.4,成就,每级+0.4
保持神秘,神秘形状+1,成就,
割草,浅绿色油漆*2 浅绿转换*2 金色油漆/1.414,现金,
