基因,基于1.55版本数据,,,,,每级DNA升级成本,DNA升级成本合计,等级加成
0级,全部收获增益,,,,,,,
,*1.03,,,,,,,
1级,产量,黄金,稀有掉落,经验值,,5,5,1
,作物增益*1.3,黄金几率*1.4,稀有掉率*1.25,经验*1.175,,6,11,2
,作物增益*1.1,黄金几率*1.05,稀有掉率*1.09,作物经验+0.15,,7,18,3
5级,生长,过度生长,巨人化,草,,9,27,4
,生长时间 /1.25,过度生长 x2.5,生长时间x5         全部收益增益x4,增加稀有掉落（草）+8,,10,37,5
,生长时间/1.01，作物经验+0.1,过度生长 +15%,"作物收益 x1.08,
稀有掉率 x1.04",草数量 +1,,12,49,6
10级,DNA,侏儒,孤独,肥沃,,14,63,7
,"提供一级基因所有DNA升级的选项,（并不能让你享受一级基因当中诸如黄金*1.4的原始加成）",每个侏儒周围可以增加4%产量，高级侏儒算作2个侏儒,田中只有一个这种作物，生长速度*2,每消耗一块蓝宝石，产量增加30%,,16,79,8
,"会展示作物增益*1.1,黄金几率*1.05，稀有掉率*1.09，作物经验+0.15      这4个DNA升级的方向当中的3个",作物增益*1.03，作物经验+0.05,"生长时间/1.01,
过度生长+12%","作物增益*1.03，
过度生长+10%",,19,98,9
15级,神秘,转换,声望,发现,,22,120,10
,产出神秘石+1,5%的收益转化为其它类型,声望后作物等级-5而不是直接归0,稀有掉率基底+5%,,25,145,11
,产出神秘石头+1,作物增益*1.06，作物经验+0.05,下一个声望DNA+10,稀有掉率基底+1%,,28,173,12
20级,幸运,最终,无私,不屈,,32,205,13
,1%几率获得8倍收益,"作物增益x1.5
黄金几率x1.2
稀有掉落x1.2
作物经验x0",所有作物增产5%,收获时40%几率免费重新种植,,36,241,14
升级,幸运收获增益+1x,作物增益x1.12,作物增益x1.05,"生长时间/1.01
作物经验+0.08",,41,282,15
25级,团队合作,猎人,病人,,,46,328,16
,每一种作物都有这种基因，所有作物的产量都会翻倍,资源稀有的原生植物被猎杀。狩猎几率等于你稀有掉落率的1%。每次狩猎成功，资源容量增加基础值的10%，基础狩猎几率降低5%。,自选择该基因以来，每天增产3%，60天增产180%。,,,52,380,17
升级,作物增益*1.08,狩猎几率*1.15,"生长时间/1.01,全部收获增益*1.02",,,59,439,18
